entity_id,entity_type,n_obs,confidence,hour_mean,hour_std,duration_mean,duration_std,top_resources,current_device_fingerprint,last_updated
edg_d4d5e269,edge_device,805,1.0,14.61,3.64,44.31,22.45,"file://share/legal:0.34, port:22:0.24, /api/v1/inventory:0.19, port:8080:0.13, file://share/public:0.10",Windows 11|8f:6e:4a:99:a2:e5|MQTT,2026-07-15 17:52:55.877508
use_fb5be7b4,user,42,1.0,6.85,2.22,26.44,18.39,"port:502:0.24, /api/v1/payments:0.21, device_fn:write_config:0.20, /api/v1/auth:0.16, /api/v1/reports:0.12",iOS 17|c4:6d:48:cb:e2:7d|TLS1.3,2026-07-15 07:25:43.202372
use_c8f63f63,user,61,1.0,9.41,2.52,39.63,35.43,"port:8080:0.31, file://share/finance:0.22, port:1883:0.19, file://share/public:0.12, port:3389:0.12",Android 14|f3:c3:20:3d:37:26|TLS1.3,2026-07-15 12:41:51.016063
use_79b0c1aa,user,24,1.0,7.92,1.51,15.18,17.26,"/api/v1/admin:0.31, port:502:0.26, file://share/finance:0.13, port:1883:0.12, /api/v1/orders:0.08",iOS 17|f8:87:72:a8:8d:62|TLS1.3,2026-07-12 08:14:17.900206
use_e0aa172f,user,141,1.0,8.53,1.32,18.92,24.33,"port:502:0.22, file://share/legal:0.20, port:3389:0.20, /api/v1/customers:0.19, file://share/exec:0.08",iOS 17|cd:b9:23:f5:f5:2b|TLS1.3,2026-07-15 09:18:36.178655
edg_5dcc8efa,edge_device,408,1.0,17.64,3.43,15.97,6.11,"device_fn:firmware_update:0.28, file://share/finance:0.18, file://share/public:0.15, /api/v1/payments:0.15, port:443:0.14",FirmwareOS 3.2|84:a4:31:f6:c4:1a|MQTT,2026-07-15 22:22:59.927045
use_6829ec18,user,72,1.0,6.98,1.99,76.05,31.41,"file://share/public:0.39, port:443:0.15, /api/v1/customers:0.14, device_fn:write_config:0.12, /api/v1/payments:0.10",FirmwareOS 3.2|93:73:6b:e3:f5:f6|TLS1.3,2026-07-15 07:44:14.996177
ser_e6af724d,service_account,159,1.0,8.23,0.64,115.13,50.55,"/api/v1/payments:0.45, /api/v1/config:0.37, file://share/public:0.10, file://share/engineering:0.08, /api/v1/auth:0.00",Android 14|02:1b:b6:7d:0c:2e|TLS1.3,2026-07-15 08:44:06.414076
use_d890043f,user,91,1.0,10.67,1.95,263.7,120.48,"device_fn:write_config:0.31, device_fn:firmware_update:0.25, /api/v1/inventory:0.17, port:8080:0.13, file://share/exec:0.08",Android 14|fd:e2:a2:de:ca:b6|TLS1.3,2026-07-15 08:23:53.892904
use_9b235d3b,user,190,1.0,10.94,1.45,30.4,16.56,"device_fn:write_config:0.32, /api/v1/analytics:0.18, port:3389:0.14, /api/v1/customers:0.13, port:443:0.09",Windows 11|f5:6a:d6:eb:fd:f5|TLS1.3,2026-07-15 13:09:22.255398
use_6c420c65,user,125,1.0,9.09,4.24,40.19,31.66,"/api/v1/auth:0.37, port:8080:0.21, /api/v1/users:0.12, /api/v1/analytics:0.11, /api/v1/billing:0.09",macOS 14|1b:16:93:ea:ce:ec|TLS1.3,2026-07-15 05:42:13.215089
edg_5ad3c322,edge_device,889,1.0,15.22,4.73,92.49,25.22,"/api/v1/customers:0.31, /api/v1/payments:0.28, file://share/exec:0.28, port:8080:0.08, file://share/engineering:0.04",Android 14|c4:10:4a:db:81:c8|MQTT,2026-07-15 23:27:03.573393
use_634d0b9b,user,104,1.0,9.36,1.88,58.91,44.26,"/api/v1/orders:0.23, device_fn:read_sensor:0.23, /api/v1/auth:0.13, device_fn:write_config:0.13, file://share/public:0.11",iOS 17|fe:f8:ce:a6:1a:ea|TLS1.3,2026-07-15 11:31:48.230396
ser_7797ce83,service_account,149,1.0,8.46,0.9,183.51,60.47,"/api/v1/analytics:0.20, /api/v1/reports:0.17, /api/v1/payments:0.16, file://share/exec:0.14, /api/v1/auth:0.11",Ubuntu 22.04|07:21:87:d3:bc:94|TLS1.3,2026-07-15 09:25:46.801618
use_5cce9b89,user,205,1.0,8.43,1.03,24.19,12.09,"/api/v1/logs:0.38, /api/v1/billing:0.26, /api/v1/auth:0.13, /api/v1/config:0.07, /api/v1/inventory:0.06",macOS 14|96:d4:2d:36:e1:52|TLS1.3,2026-07-15 08:05:11.428578
use_48718797,user,85,1.0,8.01,1.68,38.35,14.34,"port:1883:0.31, device_fn:firmware_update:0.23, port:22:0.19, port:8080:0.15, port:443:0.07",macOS 14|56:5e:81:5d:bc:53|TLS1.3,2026-07-15 08:49:54.443335
ser_994deaf4,service_account,122,1.0,6.48,1.32,287.79,99.42,"/api/v1/orders:0.36, file://share/public:0.15, device_fn:firmware_update:0.12, device_fn:write_config:0.11, port:1883:0.11",Ubuntu 22.04|35:35:e5:84:ba:cf|TLS1.3,2026-07-15 06:45:48.662145
edg_096cc7d8,edge_device,1054,1.0,14.27,2.13,113.52,126.31,"/api/v1/inventory:0.34, port:502:0.21, /api/v1/customers:0.16, /api/v1/users:0.09, port:443:0.09",FirmwareOS 3.2|7f:d4:b7:46:d8:0d|MQTT,2026-07-15 16:52:56.706368
ser_df622676,service_account,86,1.0,9.51,2.68,170.54,93.91,"/api/v1/logs:0.26, /api/v1/reports:0.22, file://share/hr:0.15, device_fn:write_config:0.13, /api/v1/customers:0.08",Windows 11|a9:6e:4f:a0:23:95|TLS1.3,2026-07-15 13:24:03.037857
use_aabb0e38,user,178,1.0,8.74,2.01,224.09,94.99,"/api/v1/billing:0.46, file://share/legal:0.34, file://share/finance:0.18, device_fn:firmware_update:0.02",Android 14|5c:6d:22:6e:5d:09|TLS1.3,2026-07-15 11:23:57.176008
use_9159dd02,user,132,1.0,7.63,0.61,33.38,29.21,"/api/v1/config:0.18, port:1883:0.16, port:8080:0.16, /api/v1/auth:0.12, file://share/public:0.10",Android 14|27:1f:86:b4:a0:a7|TLS1.3,2026-07-15 08:20:12.365653
edg_cab1d4e7,edge_device,1344,1.0,19.61,4.32,50.05,28.31,"device_fn:firmware_update:0.41, file://share/engineering:0.21, device_fn:write_config:0.17, /api/v1/payments:0.15, port:502:0.06",iOS 17|cc:24:82:58:05:1f|MQTT,2026-07-15 23:58:48.000000
use_2890aab2,user,88,1.0,9.19,1.26,31.86,23.06,"/api/v1/admin:0.41, port:8080:0.37, port:3389:0.13, /api/v1/orders:0.09, /api/v1/auth:0.00",Ubuntu 22.04|c6:39:a9:73:1c:b5|TLS1.3,2026-07-14 08:49:29.159560
use_c6e9dee8,user,71,1.0,8.54,3.1,41.9,23.96,"file://share/legal:0.35, port:3389:0.35, file://share/finance:0.18, /api/v1/admin:0.12, /api/v1/auth:0.00",Windows 11|0f:45:3f:6e:db:c3|TLS1.3,2026-07-15 10:44:27.318572
edg_0ed4aeb2,edge_device,632,1.0,17.36,5.1,93.75,50.5,"/api/v1/payments:0.35, file://share/legal:0.31, /api/v1/auth:0.22, /api/v1/customers:0.11, device_fn:write_config:0.00",Android 14|56:ff:02:7e:9b:0f|MQTT,2026-07-15 23:58:48.000000
edg_9c55dd86,edge_device,853,1.0,15.59,2.21,181.79,90.47,"port:443:0.32, file://share/engineering:0.27, file://share/legal:0.21, /api/v1/users:0.13, /api/v1/analytics:0.07",macOS 14|ad:73:3b:35:aa:86|MQTT,2026-07-15 17:52:08.054621
use_3bcb12e2,user,123,1.0,8.91,2.55,55.62,30.74,"port:3389:0.22, file://share/exec:0.22, /api/v1/orders:0.18, /api/v1/logs:0.14, /api/v1/analytics:0.12",macOS 14|f6:a7:6a:f8:1b:fc|TLS1.3,2026-07-15 12:13:57.588490
edg_1a7e5ad6,edge_device,373,1.0,13.2,6.68,22.99,7.05,"device_fn:write_config:0.30, /api/v1/logs:0.28, /api/v1/config:0.23, port:1883:0.19, /api/v1/auth:0.00",Android 14|ef:dc:9e:a6:dd:9f|MQTT,2026-07-15 21:03:50.851823
ser_aea27355,service_account,199,1.0,9.94,1.2,187.13,62.94,"/api/v1/config:0.36, port:22:0.24, /api/v1/auth:0.13, /api/v1/payments:0.11, /api/v1/logs:0.09",Windows 11|d0:04:af:80:58:dc|TLS1.3,2026-07-15 11:24:36.726829
use_cf0444e2,user,108,1.0,8.88,1.48,162.72,90.88,"device_fn:firmware_update:0.33, /api/v1/config:0.21, file://share/exec:0.17, file://share/engineering:0.16, port:3389:0.12",Android 14|4d:48:58:25:84:47|TLS1.3,2026-07-15 09:48:24.033021
use_e2a16217,user,165,1.0,8.65,1.69,14.46,5.04,"device_fn:firmware_update:0.54, file://share/hr:0.15, /api/v1/config:0.11, file://share/engineering:0.06, /api/v1/users:0.05",Windows 11|08:b9:88:d6:1b:14|TLS1.3,2026-07-15 08:53:53.751083
use_bbb37d2a,user,48,1.0,8.74,2.09,95.07,116.35,"device_fn:reboot:0.20, /api/v1/inventory:0.13, /api/v1/admin:0.11, /api/v1/billing:0.09, /api/v1/auth:0.09",iOS 17|7a:33:f9:2f:7a:85|TLS1.3,2026-07-14 08:36:41.837940
use_927ccf1e,user,45,1.0,8.8,1.44,22.08,14.33,"/api/v1/orders:0.40, /api/v1/analytics:0.30, /api/v1/config:0.17, /api/v1/customers:0.09, /api/v1/auth:0.05",macOS 14|91:9e:a5:9c:8b:fc|TLS1.3,2026-07-14 08:28:54.619959
use_1db07eb2,user,177,1.0,8.94,1.5,12.29,5.38,"device_fn:write_config:0.19, file://share/legal:0.17, /api/v1/billing:0.17, /api/v1/reports:0.16, device_fn:reboot:0.15",Ubuntu 22.04|85:9e:3b:6f:9e:10|TLS1.3,2026-07-15 11:24:57.467530
ser_90829003,service_account,163,1.0,6.61,1.65,40.19,24.04,"device_fn:read_sensor:0.38, port:22:0.32, /api/v1/payments:0.17, /api/v1/analytics:0.13, /api/v1/auth:0.00",Android 14|73:91:c3:8d:a4:d6|TLS1.3,2026-07-15 08:27:58.908986
use_49501e0c,user,61,1.0,10.39,4.01,41.3,26.01,"/api/v1/auth:0.40, file://share/engineering:0.24, device_fn:firmware_update:0.16, /api/v1/billing:0.08, device_fn:reboot:0.04",iOS 17|f9:b0:08:78:bb:65|TLS1.3,2026-07-10 08:31:57.481900
ser_db493544,service_account,53,1.0,8.21,1.02,30.32,18.79,"/api/v1/users:0.35, /api/v1/config:0.20, device_fn:write_config:0.18, file://share/finance:0.14, /api/v1/reports:0.14",iOS 17|1c:6c:18:d1:d8:be|TLS1.3,2026-07-15 09:11:20.859665
use_ed6862ff,user,54,1.0,8.1,1.55,14.46,10.15,"/api/v1/orders:0.24, file://share/finance:0.15, file://share/exec:0.14, device_fn:firmware_update:0.11, /api/v1/analytics:0.11",iOS 17|f5:73:34:fa:4d:7d|TLS1.3,2026-07-14 07:26:57.153394
use_2b8ea9b7,user,151,1.0,7.35,0.98,208.07,202.34,"/api/v1/logs:0.65, /api/v1/payments:0.29, port:8080:0.04, /api/v1/users:0.02",Ubuntu 22.04|7f:ae:38:ad:c1:5c|TLS1.3,2026-07-15 07:01:18.464249
ser_0990b28e,service_account,37,1.0,9.38,2.42,50.7,22.39,"file://share/public:0.30, /api/v1/users:0.17, /api/v1/logs:0.17, file://share/hr:0.13, file://share/engineering:0.12",FirmwareOS 3.2|73:9c:59:03:12:ed|TLS1.3,2026-07-15 09:30:11.009234
edg_4889afba,edge_device,1214,1.0,21.09,2.79,225.5,124.48,"/api/v1/analytics:0.30, file://share/finance:0.26, /api/v1/auth:0.12, file://share/engineering:0.10, port:8080:0.10",FirmwareOS 3.2|bf:08:1f:11:d4:e4|MQTT,2026-07-15 23:58:48.000000
ser_32a5d64d,service_account,160,1.0,12.06,1.2,104.29,39.76,"/api/v1/orders:0.27, /api/v1/admin:0.23, port:443:0.18, file://share/legal:0.17, file://share/public:0.07",iOS 17|2f:a7:5c:19:da:0e|TLS1.3,2026-07-15 12:50:21.444902
ser_704e069b,service_account,114,1.0,10.15,0.94,122.15,41.21,"port:8080:0.22, /api/v1/admin:0.22, /api/v1/config:0.21, /api/v1/payments:0.20, device_fn:firmware_update:0.13",Windows 11|03:e9:49:a8:e8:09|TLS1.3,2026-07-15 10:40:27.187442
use_19d1e726,user,194,1.0,9.66,2.29,93.65,48.94,"file://share/exec:0.27, /api/v1/auth:0.23, device_fn:write_config:0.19, /api/v1/analytics:0.15, /api/v1/billing:0.06",macOS 14|49:cb:30:56:cb:74|TLS1.3,2026-07-15 11:52:50.048591
use_6c3e2426,user,106,1.0,9.73,2.13,92.65,37.96,"port:443:0.51, file://share/engineering:0.21, /api/v1/inventory:0.14, file://share/exec:0.07, port:22:0.07",Ubuntu 22.04|09:17:21:6e:76:5a|TLS1.3,2026-07-15 11:52:37.944548
use_14da019f,user,195,1.0,13.69,1.58,93.53,57.69,"/api/v1/customers:0.27, file://share/public:0.26, /api/v1/auth:0.26, /api/v1/payments:0.16, /api/v1/analytics:0.05",Ubuntu 22.04|c6:e2:35:ac:ea:a4|TLS1.3,2026-07-15 14:31:32.171204
ser_cc92d654,service_account,126,1.0,8.78,2.44,31.42,7.5,"/api/v1/analytics:0.36, /api/v1/customers:0.26, device_fn:firmware_update:0.20, /api/v1/reports:0.06, /api/v1/users:0.06",Android 14|e1:8d:41:d9:2b:a2|TLS1.3,2026-07-14 09:06:01.920101
use_f8e3d227,user,103,1.0,8.71,1.4,90.67,46.72,"/api/v1/billing:0.30, port:3389:0.15, device_fn:write_config:0.13, device_fn:reboot:0.11, /api/v1/config:0.10",macOS 14|eb:c6:35:ab:bb:55|TLS1.3,2026-07-14 09:22:24.803722
use_9bfde1d8,user,132,1.0,9.47,1.54,138.51,77.19,"port:502:0.38, /api/v1/inventory:0.33, port:443:0.15, /api/v1/customers:0.15, file://share/hr:0.00",Ubuntu 22.04|d3:51:1f:e3:25:98|TLS1.3,2026-07-15 09:23:38.349162
ser_71d55639,service_account,71,1.0,12.66,4.94,22.21,11.3,"port:22:0.32, port:502:0.24, /api/v1/auth:0.14, file://share/finance:0.13, file://share/hr:0.09",macOS 14|2d:72:ea:64:2f:e0|TLS1.3,2026-07-14 15:28:40.910233
use_0438bab8,user,78,1.0,8.22,1.35,36.95,10.43,"/api/v1/orders:0.32, /api/v1/inventory:0.30, device_fn:firmware_update:0.24, port:443:0.09, port:3389:0.04",iOS 17|a8:72:76:43:f8:64|TLS1.3,2026-07-13 09:20:35.654923
use_3cfad72b,user,55,1.0,11.58,2.75,136.46,96.0,"file://share/exec:0.35, port:3389:0.18, port:1883:0.13, port:8080:0.11, /api/v1/auth:0.11",Windows 11|4d:81:1b:a2:9f:47|TLS1.3,2026-07-14 14:32:34.851462
use_a31e4fb9,user,88,1.0,10.1,5.2,21.96,15.99,"/api/v1/auth:0.23, /api/v1/config:0.20, port:8080:0.17, port:3389:0.11, file://share/engineering:0.09",FirmwareOS 3.2|0b:17:8c:6c:02:ee|TLS1.3,2026-07-15 10:09:58.279156
use_97ca1e0a,user,157,1.0,14.9,2.08,23.53,19.17,"port:22:0.35, file://share/public:0.30, device_fn:firmware_update:0.29, port:443:0.06, /api/v1/auth:0.00",Android 14|d3:fb:47:34:4f:36|TLS1.3,2026-07-15 18:47:22.971070
use_e41929b1,user,133,1.0,10.66,1.64,125.23,79.76,"/api/v1/reports:0.34, /api/v1/analytics:0.21, file://share/legal:0.18, file://share/exec:0.12, device_fn:write_config:0.08",Windows 11|42:ff:9a:5a:6c:d3|TLS1.3,2026-07-15 11:37:15.016493
use_a2368806,user,181,1.0,8.36,5.1,25.76,20.09,"/api/v1/auth:0.46, file://share/finance:0.15, /api/v1/reports:0.15, port:8080:0.13, /api/v1/inventory:0.11",Ubuntu 22.04|7e:24:bb:10:72:51|TLS1.3,2026-07-15 13:25:50.421081
edg_38b59d78,edge_device,1581,1.0,22.76,1.99,44.05,13.59,"port:502:0.34, /api/v1/analytics:0.17, /api/v1/logs:0.16, /api/v1/customers:0.14, /api/v1/admin:0.08",FirmwareOS 3.2|3f:41:bd:d7:c8:4e|MQTT,2026-07-15 23:58:48.000000
use_17978ec9,user,35,1.0,8.88,2.31,154.48,55.13,"file://share/engineering:0.47, file://share/hr:0.37, /api/v1/auth:0.06, file://share/exec:0.06, file://share/finance:0.02",FirmwareOS 3.2|13:47:90:55:7c:2c|TLS1.3,2026-07-15 08:57:19.338668
use_76b2d6f9,user,153,1.0,9.64,0.75,237.62,95.72,"port:3389:0.38, port:22:0.19, /api/v1/billing:0.17, device_fn:firmware_update:0.16, port:502:0.11",FirmwareOS 3.2|50:0f:d5:00:ae:ab|TLS1.3,2026-07-15 10:36:38.924370
use_5fca0d8e,user,40,1.0,10.1,2.64,44.29,17.54,"port:443:0.24, /api/v1/reports:0.22, /api/v1/logs:0.19, file://share/hr:0.11, port:22:0.06",macOS 14|1f:a4:05:fb:0d:55|TLS1.3,2026-07-14 10:59:18.893241
use_6f33b830,user,54,1.0,9.97,1.25,40.29,18.42,"port:443:0.36, port:502:0.30, device_fn:read_sensor:0.15, /api/v1/users:0.15, /api/v1/admin:0.03",iOS 17|90:e2:ce:4a:e7:85|TLS1.3,2026-07-15 08:57:48.671371
use_8b581925,user,54,1.0,10.41,1.99,266.26,199.6,"file://share/engineering:0.23, device_fn:read_sensor:0.19, port:443:0.16, /api/v1/billing:0.15, port:3389:0.13",Ubuntu 22.04|2b:b5:d6:2c:c0:5b|TLS1.3,2026-07-15 09:41:13.383243
ser_7d08f492,service_account,124,1.0,8.7,1.14,171.51,37.26,"/api/v1/reports:0.29, file://share/finance:0.21, device_fn:write_config:0.18, /api/v1/payments:0.15, /api/v1/customers:0.09",FirmwareOS 3.2|f7:47:b5:c7:ff:8d|TLS1.3,2026-07-15 08:36:56.416135
use_1cf09259,user,44,1.0,10.34,2.54,128.31,52.8,"/api/v1/billing:0.44, /api/v1/admin:0.19, /api/v1/config:0.14, port:3389:0.13, file://share/legal:0.06",Ubuntu 22.04|8d:12:39:09:86:71|TLS1.3,2026-07-15 11:48:50.307208
use_ca446ac5,user,90,1.0,11.3,1.13,63.99,32.83,"/api/v1/payments:0.34, /api/v1/config:0.28, port:443:0.16, /api/v1/admin:0.13, file://share/engineering:0.09",Windows 11|49:38:a8:d0:4a:dc|TLS1.3,2026-07-15 09:56:24.274444
ser_df48726d,service_account,73,1.0,10.15,2.3,138.14,76.9,"device_fn:reboot:0.52, /api/v1/config:0.23, /api/v1/inventory:0.15, file://share/legal:0.06, /api/v1/auth:0.04",FirmwareOS 3.2|32:01:73:79:a1:26|TLS1.3,2026-07-15 11:19:16.162237
edg_8e7aea1d,edge_device,1697,1.0,23.44,1.57,46.22,24.42,"file://share/exec:0.23, device_fn:reboot:0.22, /api/v1/analytics:0.18, /api/v1/payments:0.18, port:443:0.12",iOS 17|34:10:01:0a:93:83|MQTT,2026-07-15 23:58:48.000000
use_497a0db2,user,85,1.0,13.22,2.14,76.23,39.63,"device_fn:firmware_update:0.21, /api/v1/reports:0.21, /api/v1/config:0.14, port:22:0.14, /api/v1/logs:0.09",iOS 17|8a:2d:ef:d8:da:53|TLS1.3,2026-07-15 14:49:28.872424
use_1a063394,user,28,1.0,12.0,3.54,181.49,138.31,"file://share/exec:0.43, port:8080:0.24, /api/v1/inventory:0.22, port:1883:0.10, /api/v1/auth:0.00",macOS 14|ee:2c:a8:38:54:7a|TLS1.3,2026-07-14 16:55:55.244637
edg_6350df3b,edge_device,1437,1.0,23.14,1.75,65.42,27.95,"/api/v1/inventory:0.25, /api/v1/payments:0.16, file://share/public:0.15, device_fn:write_config:0.11, /api/v1/analytics:0.10",Windows 11|0c:79:d3:a7:21:35|MQTT,2026-07-15 23:58:48.000000
use_839c3d1b,user,56,1.0,11.48,0.74,20.16,11.14,"port:3389:0.41, device_fn:firmware_update:0.38, /api/v1/billing:0.16, /api/v1/reports:0.03, port:443:0.01",Ubuntu 22.04|ee:1e:a7:8b:a6:7d|TLS1.3,2026-07-15 11:32:53.711817
use_255095f3,user,151,1.0,11.24,0.99,30.05,10.3,"file://share/hr:0.31, port:3389:0.30, /api/v1/analytics:0.16, file://share/engineering:0.13, device_fn:firmware_update:0.04",Ubuntu 22.04|23:d1:6c:41:ba:be|TLS1.3,2026-07-15 11:19:16.646650
ser_a37d5cd2,service_account,150,1.0,12.03,2.46,112.88,71.57,"/api/v1/auth:0.41, device_fn:firmware_update:0.21, /api/v1/customers:0.15, port:3389:0.13, port:443:0.10",Android 14|e9:ed:35:64:68:90|TLS1.3,2026-07-15 12:53:17.828276
