session_id,entity_id,true_label,risk_score,explanation
s_0039307,edg_b867f4b0,credential_stuffing,1.0,flagged due to unusually short session (0.06 min) + authentication failed + 2 failed logins from this source in the last 5 min
s_0030982,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 7 failed logins from this source in the last 5 min
s_0011067,use_cf8eae1b,brute_force,1.0,flagged due to unusually short session (0.20 min) + authentication failed + 19 failed logins from this source in the last 5 min
s_0047262,edg_6abc2e70,credential_stuffing,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 13 failed logins from this source in the last 5 min
s_0002198,use_c5724d73,brute_force,1.0,flagged due to unusually short session (0.24 min) + authentication failed + 23 failed logins from this source in the last 5 min
s_0042621,use_5d52c545,brute_force,1.0,flagged due to unusually short session (0.27 min) + authentication failed + 17 failed logins from this source in the last 5 min
s_0032459,use_9a170457,brute_force,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 25 failed logins from this source in the last 5 min
s_0012283,use_eeed85ce,brute_force,1.0,flagged due to unusually short session (0.21 min) + authentication failed + 11 failed logins from this source in the last 5 min
s_0011066,use_cf8eae1b,brute_force,1.0,flagged due to unusually short session (0.08 min) + authentication failed + 18 failed logins from this source in the last 5 min
s_0033981,use_7621848f,credential_stuffing,1.0,flagged due to unusually short session (0.15 min) + authentication failed + 23 failed logins from this source in the last 5 min
s_0042618,use_5d52c545,brute_force,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 14 failed logins from this source in the last 5 min
s_0033997,edg_37cb8d02,credential_stuffing,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 38 failed logins from this source in the last 5 min
s_0026125,use_b1f3465d,brute_force,1.0,flagged due to unusually short session (0.25 min) + authentication failed + 14 failed logins from this source in the last 5 min
s_0042615,use_5d52c545,brute_force,1.0,flagged due to unusually short session (0.08 min) + authentication failed + 11 failed logins from this source in the last 5 min
s_0027351,use_5279c980,brute_force,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 16 failed logins from this source in the last 5 min
s_0047496,use_ba716f5d,brute_force,1.0,flagged due to unusually short session (0.24 min) + authentication failed + 20 failed logins from this source in the last 5 min
s_0047252,edg_580e0681,credential_stuffing,1.0,flagged due to unusually short session (0.06 min) + authentication failed + 3 failed logins from this source in the last 5 min
s_0026995,ser_7441d92e,credential_stuffing,1.0,flagged due to unusually short session (0.07 min) + authentication failed + 19 failed logins from this source in the last 5 min
s_0030980,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.10 min) + authentication failed + 5 failed logins from this source in the last 5 min
s_0030981,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.10 min) + authentication failed + 6 failed logins from this source in the last 5 min
s_0056631,use_64a7db40,brute_force,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 14 failed logins from this source in the last 5 min
s_0027699,ser_0e15bbe7,brute_force,1.0,flagged due to unusually short session (0.07 min) + authentication failed + 8 failed logins from this source in the last 5 min
s_0032453,use_9a170457,brute_force,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 21 failed logins from this source in the last 5 min
s_0011060,use_cf8eae1b,brute_force,1.0,flagged due to unusually short session (0.19 min) + authentication failed + 12 failed logins from this source in the last 5 min
s_0014688,use_44a27522,brute_force,1.0,flagged due to unusually short session (0.19 min) + authentication failed + 23 failed logins from this source in the last 5 min
s_0012277,use_eeed85ce,brute_force,1.0,flagged due to unusually short session (0.23 min) + authentication failed + 7 failed logins from this source in the last 5 min
s_0033966,edg_83ba8ecf,credential_stuffing,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 10 failed logins from this source in the last 5 min
s_0030990,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.08 min) + authentication failed + 15 failed logins from this source in the last 5 min
s_0002190,use_c5724d73,brute_force,1.0,flagged due to unusually short session (0.23 min) + authentication failed + 14 failed logins from this source in the last 5 min
s_0039322,use_d66a0637,credential_stuffing,1.0,flagged due to unusually short session (0.17 min) + authentication failed + 17 failed logins from this source in the last 5 min
s_0033548,ser_65813448,brute_force,1.0,flagged due to unusually short session (0.10 min) + authentication failed + 10 failed logins from this source in the last 5 min
s_0011049,use_cf8eae1b,brute_force,1.0,flagged due to unusually short session (0.24 min) + authentication failed + 1 failed logins from this source in the last 5 min
s_0009780,edg_e3f5dfca,credential_stuffing,1.0,flagged due to unusually short session (0.10 min) + authentication failed + 21 failed logins from this source in the last 5 min
s_0014680,use_44a27522,brute_force,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 15 failed logins from this source in the last 5 min
s_0033547,ser_65813448,brute_force,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 9 failed logins from this source in the last 5 min
s_0027706,ser_0e15bbe7,brute_force,1.0,flagged due to unusually short session (0.20 min) + authentication failed + 12 failed logins from this source in the last 5 min
s_0030987,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.20 min) + authentication failed + 12 failed logins from this source in the last 5 min
s_0026980,use_94172daf,credential_stuffing,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 5 failed logins from this source in the last 5 min
s_0011081,use_cf8eae1b,brute_force,1.0,flagged due to unusually short session (0.25 min) + authentication failed + 29 failed logins from this source in the last 5 min
s_0014698,use_44a27522,brute_force,1.0,flagged due to unusually short session (0.08 min) + authentication failed + 30 failed logins from this source in the last 5 min
s_0033982,use_bf5d3adc,credential_stuffing,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 24 failed logins from this source in the last 5 min
s_0017120,ser_9c2307bb,brute_force,1.0,flagged due to unusually short session (0.26 min) + authentication failed + 11 failed logins from this source in the last 5 min
s_0001367,ser_5dbf04ec,brute_force,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 18 failed logins from this source in the last 5 min
s_0030991,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.08 min) + authentication failed + 16 failed logins from this source in the last 5 min
s_0030992,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.10 min) + authentication failed + 17 failed logins from this source in the last 5 min
s_0026120,use_b1f3465d,brute_force,1.0,flagged due to unusually short session (0.26 min) + authentication failed + 9 failed logins from this source in the last 5 min
s_0050609,use_d8fbd568,brute_force,1.0,flagged due to unusually short session (0.20 min) + authentication failed + 11 failed logins from this source in the last 5 min
s_0050610,use_d8fbd568,brute_force,1.0,flagged due to unusually short session (0.07 min) + authentication failed + 12 failed logins from this source in the last 5 min
s_0042610,use_5d52c545,brute_force,1.0,flagged due to unusually short session (0.28 min) + authentication failed + 6 failed logins from this source in the last 5 min
s_0017123,ser_9c2307bb,brute_force,1.0,flagged due to unusually short session (0.05 min) + authentication failed + 14 failed logins from this source in the last 5 min
s_0017122,ser_9c2307bb,brute_force,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 13 failed logins from this source in the last 5 min
s_0047487,use_ba716f5d,brute_force,1.0,flagged due to unusually short session (0.29 min) + authentication failed + 12 failed logins from this source in the last 5 min
s_0008567,ser_3e4a5126,brute_force,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 16 failed logins from this source in the last 5 min
s_0008564,ser_3e4a5126,brute_force,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 13 failed logins from this source in the last 5 min
s_0039325,ser_b8fc9478,credential_stuffing,1.0,flagged due to unusually short session (0.10 min) + authentication failed + 20 failed logins from this source in the last 5 min
s_0033541,ser_65813448,brute_force,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 3 failed logins from this source in the last 5 min
s_0008573,ser_3e4a5126,brute_force,1.0,flagged due to unusually short session (0.08 min) + authentication failed + 22 failed logins from this source in the last 5 min
s_0030999,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.20 min) + authentication failed + 22 failed logins from this source in the last 5 min
s_0033564,ser_65813448,brute_force,1.0,flagged due to unusually short session (0.28 min) + authentication failed + 21 failed logins from this source in the last 5 min
s_0032432,use_9a170457,brute_force,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 3 failed logins from this source in the last 5 min
s_0008571,ser_3e4a5126,brute_force,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 20 failed logins from this source in the last 5 min
s_0047485,use_ba716f5d,brute_force,1.0,flagged due to unusually short session (0.11 min) + authentication failed + 10 failed logins from this source in the last 5 min
s_0050607,use_d8fbd568,brute_force,1.0,flagged due to unusually short session (0.23 min) + authentication failed + 9 failed logins from this source in the last 5 min
s_0047482,use_ba716f5d,brute_force,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 7 failed logins from this source in the last 5 min
s_0031002,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.21 min) + authentication failed + 24 failed logins from this source in the last 5 min
s_0002867,edg_d55b1660,brute_force,1.0,flagged due to unusually short session (0.21 min) + authentication failed + 12 failed logins from this source in the last 5 min
s_0012333,edg_7a98b44b,brute_force,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 15 failed logins from this source in the last 5 min
s_0026113,use_b1f3465d,brute_force,1.0,flagged due to unusually short session (0.21 min) + authentication failed + 3 failed logins from this source in the last 5 min
s_0009781,ser_9c2307bb,credential_stuffing,1.0,flagged due to unusually short session (0.07 min) + authentication failed + 22 failed logins from this source in the last 5 min
s_0031004,ser_78507cd0,brute_force,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 26 failed logins from this source in the last 5 min
s_0017131,ser_9c2307bb,brute_force,1.0,flagged due to unusually short session (0.28 min) + authentication failed + 22 failed logins from this source in the last 5 min
s_0008579,ser_3e4a5126,brute_force,1.0,flagged due to unusually short session (0.21 min) + authentication failed + 27 failed logins from this source in the last 5 min
s_0033566,ser_65813448,brute_force,1.0,flagged due to unusually short session (0.22 min) + authentication failed + 23 failed logins from this source in the last 5 min
s_0047256,edg_3aeb4ffd,credential_stuffing,1.0,flagged due to unusually short session (0.13 min) + authentication failed + 7 failed logins from this source in the last 5 min
s_0033976,ser_b88eab3b,credential_stuffing,1.0,flagged due to unusually short session (0.11 min) + authentication failed + 18 failed logins from this source in the last 5 min
s_0031435,use_c96c4abf,credential_stuffing,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 14 failed logins from this source in the last 5 min
s_0012335,edg_7a98b44b,brute_force,1.0,flagged due to unusually short session (0.10 min) + 17 failed logins from this source in the last 5 min + authentication failed
s_0014678,use_44a27522,brute_force,1.0,flagged due to unusually short session (0.18 min) + authentication failed + 13 failed logins from this source in the last 5 min
s_0012336,edg_7a98b44b,brute_force,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 18 failed logins from this source in the last 5 min
s_0014801,edg_15d63cd2,brute_force,1.0,flagged due to unusually short session (0.11 min) + 18 failed logins from this source in the last 5 min + authentication failed
s_0032444,use_9a170457,brute_force,1.0,flagged due to unusually short session (0.17 min) + authentication failed + 13 failed logins from this source in the last 5 min
s_0047275,use_1399208c,credential_stuffing,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 26 failed logins from this source in the last 5 min
s_0014804,edg_15d63cd2,brute_force,1.0,flagged due to unusually short session (0.26 min) + authentication failed + 21 failed logins from this source in the last 5 min
s_0026979,use_5cfbad6f,credential_stuffing,1.0,flagged due to unusually short session (0.11 min) + authentication failed + 4 failed logins from this source in the last 5 min
s_0032439,use_9a170457,brute_force,1.0,flagged due to unusually short session (0.19 min) + authentication failed + 9 failed logins from this source in the last 5 min
s_0047269,use_e737bf18,credential_stuffing,1.0,flagged due to unusually short session (0.06 min) + authentication failed + 20 failed logins from this source in the last 5 min
s_0014674,use_44a27522,brute_force,1.0,flagged due to unusually short session (0.29 min) + authentication failed + 9 failed logins from this source in the last 5 min
s_0009793,use_20414d2d,credential_stuffing,1.0,flagged due to unusually short session (0.06 min) + authentication failed + 32 failed logins from this source in the last 5 min
s_0014673,use_44a27522,brute_force,1.0,flagged due to unusually short session (0.07 min) + authentication failed + 8 failed logins from this source in the last 5 min
s_0001357,ser_5dbf04ec,brute_force,1.0,flagged due to unusually short session (0.13 min) + authentication failed + 8 failed logins from this source in the last 5 min
s_0014808,edg_15d63cd2,brute_force,1.0,flagged due to unusually short session (0.21 min) + authentication failed + 25 failed logins from this source in the last 5 min
s_0014415,edg_faea4482,brute_force,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 28 failed logins from this source in the last 5 min
s_0042871,ser_2b666594,credential_stuffing,1.0,flagged due to unusually short session (0.06 min) + authentication failed + 1 failed logins from this source in the last 5 min
s_0009775,use_b0b8131b,credential_stuffing,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 17 failed logins from this source in the last 5 min
s_0001361,ser_5dbf04ec,brute_force,1.0,flagged due to unusually short session (0.17 min) + authentication failed + 12 failed logins from this source in the last 5 min
s_0033996,use_4dce969d,credential_stuffing,1.0,flagged due to unusually short session (0.11 min) + authentication failed + 37 failed logins from this source in the last 5 min
s_0002199,use_c5724d73,brute_force,1.0,flagged due to unusually short session (0.29 min) + authentication failed + 24 failed logins from this source in the last 5 min
s_0039335,edg_83c30b63,credential_stuffing,1.0,flagged due to unusually short session (0.13 min) + authentication failed + 30 failed logins from this source in the last 5 min
s_0009777,ser_66960f30,credential_stuffing,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 19 failed logins from this source in the last 5 min
s_0002865,edg_d55b1660,brute_force,1.0,flagged due to unusually short session (0.21 min) + authentication failed + 10 failed logins from this source in the last 5 min
s_0012332,edg_7a98b44b,brute_force,1.0,flagged due to unusually short session (0.24 min) + authentication failed + 14 failed logins from this source in the last 5 min
s_0014794,edg_15d63cd2,brute_force,1.0,flagged due to unusually short session (0.25 min) + authentication failed + 11 failed logins from this source in the last 5 min
s_0043016,ser_488eacfc,credential_stuffing,1.0,flagged due to unusually short session (0.18 min) + authentication failed + 26 failed logins from this source in the last 5 min
s_0014786,edg_15d63cd2,brute_force,1.0,flagged due to unusually short session (0.29 min) + authentication failed + 3 failed logins from this source in the last 5 min
s_0008554,ser_3e4a5126,brute_force,1.0,flagged due to unusually short session (0.28 min) + authentication failed + 4 failed logins from this source in the last 5 min
s_0001359,ser_5dbf04ec,brute_force,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 10 failed logins from this source in the last 5 min
s_0027365,use_5279c980,brute_force,1.0,flagged due to unusually short session (0.23 min) + authentication failed + 28 failed logins from this source in the last 5 min
s_0042635,use_5d52c545,brute_force,1.0,flagged due to unusually short session (0.23 min) + authentication failed + 28 failed logins from this source in the last 5 min
s_0026981,edg_15d63cd2,credential_stuffing,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 6 failed logins from this source in the last 5 min
